humanitarian_id,client_id
h_1972,
h_2640,
h_5263,
h_807,
h_787,
h_2912,
h_22158,4125.0
h_6450,
h_5755,
h_3225,
h_4381,
h_4525,
h_2230,
h_1636,
h_194,
h_2582,
h_12566,19016.0
h_2050,
h_4442,
h_21633,7341.0
h_5005,
h_4387,
h_6176,
h_3500,
h_1378,
h_4182,
h_13103,18162.0
h_2861,
h_1318,
h_1648,
h_2681,
h_422,
h_1757,
h_349,
h_2842,
h_2641,
h_6811,
h_4737,
h_3975,
h_1435,
h_4319,
h_13646,15164.0
h_631,
h_6663,
h_1600,
h_4789,
h_1013,
h_5378,
h_17392,16944.0
h_13065,15794.0
h_2833,
h_3737,
h_1847,
h_3876,
h_1991,
h_5768,
h_23123,18345.0
h_715,
h_22554,13698.0
h_5116,
h_14558,12903.0
h_6434,
h_16362,16250.0
h_14737,18922.0
h_7387,19007.0
h_6860,18597.0
h_23960,18774.0
h_24868,14782.0
h_4595,
h_7391,10951.0
h_10922,14152.0
h_17480,18497.0
h_5897,
h_6726,
h_0,
h_5967,
h_3547,
h_10245,17574.0
h_5191,
h_6622,
h_10883,15066.0
h_3033,
h_4132,
h_5024,
h_5332,
h_6046,
h_112,
h_2118,
h_5613,
h_159,
h_132,
h_5583,
h_6527,
h_5618,
h_6069,
h_3553,
h_2266,
h_1282,
h_3576,
h_723,
h_5877,
h_5940,
h_2157,
h_968,
h_624,
h_677,
h_4033,
h_4454,
h_4392,
h_16451,19023.0
h_15027,19026.0
h_3957,
h_3494,
h_18856,10909.0
h_16478,14269.0
h_21224,16686.0
h_1238,
h_2656,
h_17414,2582.0
h_8138,16993.0
h_25339,10990.0
h_4527,
h_2006,
h_62,
h_1146,
h_22005,9576.0
h_9098,11262.0
h_6193,
h_685,
h_2217,
h_3752,
h_6497,
h_4217,
h_15559,18408.0
h_3229,
h_4093,
h_2474,
h_18781,18660.0
h_6459,
h_2808,
h_4793,
h_602,
h_1948,
h_12498,17889.0
h_6582,
h_3085,
h_93,
h_162,
h_5805,
h_2848,
h_3339,
h_6531,
h_18490,18247.0
h_1333,
h_907,
h_2472,
h_14008,16421.0
h_3672,
h_21148,2579.0
h_7943,15712.0
h_5978,
h_19047,11846.0
h_12052,12756.0
h_587,
h_17547,17064.0
h_10797,14348.0
h_1416,
h_16784,18511.0
h_6628,
h_6761,
h_6186,
h_3154,
h_608,
h_8045,13638.0
h_18779,15655.0
h_22163,16212.0
h_4879,
h_4475,
h_15995,16067.0
h_3468,
h_982,
h_1166,
h_2736,
h_1456,
h_1497,
h_2985,
h_23155,11061.0
h_2134,
h_23683,18899.0
h_4275,
h_4071,
h_14541,18290.0
h_4996,
h_1570,
h_6712,
h_3865,
h_5843,
h_6714,
h_4760,
h_4409,
h_4022,
h_1966,
h_3295,
h_5792,
h_4474,
h_6077,
h_604,
h_5158,
h_5337,
h_6562,
h_4034,
h_21328,18316.0
h_11820,18102.0
h_3091,
h_1320,
h_401,
h_1396,
h_21016,17486.0
h_2440,
h_1388,
h_5900,
h_22972,18987.0
h_23,
h_21803,5934.0
h_10604,2020.0
